"","HostName","ParName","HostParPair"
"132","Alces alces","Dictyocaulus viviparus","Alces alces, Dictyocaulus viviparus"
"133","Alces alces","Echinococcus granulosus","Alces alces, Echinococcus granulosus"
"134","Alces alces","Elaphostrongylus alces","Alces alces, Elaphostrongylus alces"
"135","Alces alces","Elaphostrongylus cervi","Alces alces, Elaphostrongylus cervi"
"136","Alces alces","Elaphostrongylus rangiferi","Alces alces, Elaphostrongylus rangiferi"
"137","Alces alces","Erysipelothrix rhusiopathiae","Alces alces, Erysipelothrix rhusiopathiae"
"138","Alces alces","Escherichia coli","Alces alces, Escherichia coli"
"139","Alces alces","Fasciola hepatica","Alces alces, Fasciola hepatica"
"140","Alces alces","Fascioloides magna","Alces alces, Fascioloides magna"
"141","Alces alces","Flavivirus Tick-borne encephalitis virus","Alces alces, Flavivirus Tick-borne encephalitis virus"
"142","Alces alces","Fusobacterium necrophorum","Alces alces, Fusobacterium necrophorum"
"143","Alces alces","Giardia intestinalis","Alces alces, Giardia intestinalis"
"144","Alces alces","Ixodes ricinus","Alces alces, Ixodes ricinus"
"145","Alces alces","Klebsiella pneumoniae","Alces alces, Klebsiella pneumoniae"
"146","Alces alces","Leptospira interrogans","Alces alces, Leptospira interrogans"
"147","Alces alces","Liorchis scotiae","Alces alces, Liorchis scotiae"
"148","Alces alces","Macavirus Alcelaphine gammaherpesvirus 1","Alces alces, Macavirus Alcelaphine gammaherpesvirus 1"
"149","Alces alces","Macavirus Caprine gammaherpesvirus 2","Alces alces, Macavirus Caprine gammaherpesvirus 2"
"150","Alces alces","Macavirus Ovine gammaherpesvirus 2","Alces alces, Macavirus Ovine gammaherpesvirus 2"
"151","Alces alces","Moniezia benedeni","Alces alces, Moniezia benedeni"
"152","Alces alces","Moniezia expansa","Alces alces, Moniezia expansa"
"153","Alces alces","Moraxella ovis","Alces alces, Moraxella ovis"
"154","Alces alces","Mycobacterium avium","Alces alces, Mycobacterium avium"
"155","Alces alces","Nematodirella alcidis","Alces alces, Nematodirella alcidis"
"156","Alces alces","Oesophagostomum venulosum","Alces alces, Oesophagostomum venulosum"
"157","Alces alces","Orthobunyavirus California encephalitis orthobunyavirus","Alces alces, Orthobunyavirus California encephalitis orthobunyavirus"
"158","Alces alces","Ostertagia leptospicularis","Alces alces, Ostertagia leptospicularis"
"159","Alces alces","Parafasciolopsis fasciolaemorpha","Alces alces, Parafasciolopsis fasciolaemorpha"
"160","Alces alces","Paramphistomum cervi","Alces alces, Paramphistomum cervi"
"161","Alces alces","Paramphistomum ichikawai","Alces alces, Paramphistomum ichikawai"
"162","Alces alces","Parelaphostrongylus tenuis","Alces alces, Parelaphostrongylus tenuis"
"163","Alces alces","Pasteurella multocida","Alces alces, Pasteurella multocida"
"164","Alces alces","Pestivirus Bovine viral diarrhea virus 1","Alces alces, Pestivirus Bovine viral diarrhea virus 1"
"165","Alces alces","Sarcocystis alces","Alces alces, Sarcocystis alces"
"166","Alces alces","Sarcocystis alceslatrans","Alces alces, Sarcocystis alceslatrans"
"167","Alces alces","Sarcocystis ovalis","Alces alces, Sarcocystis ovalis"
"168","Alces alces","Sarcocystis scandinavica","Alces alces, Sarcocystis scandinavica"
"169","Alces alces","Spiculopteragia alicis","Alces alces, Spiculopteragia alicis"
"170","Alces alces","Taenia hydatigena","Alces alces, Taenia hydatigena"
"171","Alces alces","Thysanosoma actinioides","Alces alces, Thysanosoma actinioides"
"172","Alces alces","Toxoplasma gondii","Alces alces, Toxoplasma gondii"
"173","Alces alces","Trichuris discolor","Alces alces, Trichuris discolor"
"174","Alces alces","Trichuris ovis","Alces alces, Trichuris ovis"
"175","Alces alces","Trypanosoma cervi","Alces alces, Trypanosoma cervi"
"176","Alces alces","Varestrongylus alces","Alces alces, Varestrongylus alces"
"177","Alces alces","Varicellovirus Bovine alphaherpesvirus 1","Alces alces, Varicellovirus Bovine alphaherpesvirus 1"
"178","Alces alces","Zygocotyle lunata","Alces alces, Zygocotyle lunata"
"179","Alces americanus","Chronic wasting disease prion protein","Alces americanus, Chronic wasting disease prion protein"
"180","Allenopithecus nigroviridis","Orthopoxvirus Monkeypox virus","Allenopithecus nigroviridis, Orthopoxvirus Monkeypox virus"
"181","Allenopithecus nigroviridis","Paracoroptes allenopitheci","Allenopithecus nigroviridis, Paracoroptes allenopitheci"
"182","Alouatta belzebul","Alouattamyia baeri","Alouatta belzebul, Alouattamyia baeri"
"183","Alouatta belzebul","Alphavirus Mayaro virus","Alouatta belzebul, Alphavirus Mayaro virus"
"184","Alouatta belzebul","Ascaris elongata","Alouatta belzebul, Ascaris elongata"
"185","Alouatta belzebul","Flavivirus Yellow fever virus","Alouatta belzebul, Flavivirus Yellow fever virus"
"186","Alouatta belzebul","Mathevotaenia megastoma","Alouatta belzebul, Mathevotaenia megastoma"
"187","Alouatta belzebul","Plasmodium brasilianum","Alouatta belzebul, Plasmodium brasilianum"
"188","Alouatta belzebul","Trypanosoma minasense","Alouatta belzebul, Trypanosoma minasense"
"189","Alouatta belzebul","Trypanosoma mycetae","Alouatta belzebul, Trypanosoma mycetae"
"190","Alouatta caraya","Ancylostoma quadridentata","Alouatta caraya, Ancylostoma quadridentata"
"191","Alouatta caraya","Ascaris lumbricoides","Alouatta caraya, Ascaris lumbricoides"
"192","Alouatta caraya","Balantidium aragaoi","Alouatta caraya, Balantidium aragaoi"
"193","Alouatta caraya","Bertiella mucronata","Alouatta caraya, Bertiella mucronata"
"194","Alouatta caraya","Cebidicola semiarmatus","Alouatta caraya, Cebidicola semiarmatus"
"195","Alouatta caraya","Dipetalonema gracile","Alouatta caraya, Dipetalonema gracile"
"196","Alouatta caraya","Flavivirus Yellow fever virus","Alouatta caraya, Flavivirus Yellow fever virus"
"197","Alouatta caraya","Giardia intestinalis","Alouatta caraya, Giardia intestinalis"
"198","Alouatta caraya","Longistriata dubia","Alouatta caraya, Longistriata dubia"
"199","Alouatta caraya","Mathevotaenia megastoma","Alouatta caraya, Mathevotaenia megastoma"
"200","Alouatta caraya","Moniezia rugosa","Alouatta caraya, Moniezia rugosa"
"201","Alouatta caraya","Pediculus mjobergi","Alouatta caraya, Pediculus mjobergi"
"202","Alouatta caraya","Plasmodium brasilianum","Alouatta caraya, Plasmodium brasilianum"
"203","Alouatta caraya","Raillietina demerariensis","Alouatta caraya, Raillietina demerariensis"
"204","Alouatta caraya","Retortamonas intestinalis","Alouatta caraya, Retortamonas intestinalis"
"205","Alouatta caraya","Trypanosoma cruzi","Alouatta caraya, Trypanosoma cruzi"
"206","Alouatta caraya","Trypanosoma forestali","Alouatta caraya, Trypanosoma forestali"
"207","Alouatta caraya","Trypanosoma minasense","Alouatta caraya, Trypanosoma minasense"
"208","Alouatta caraya","Trypanosoma mycetae","Alouatta caraya, Trypanosoma mycetae"
"209","Alouatta caraya","Trypanoxyuris callithricis","Alouatta caraya, Trypanoxyuris callithricis"
"210","Alouatta caraya","Trypanoxyuris minutus","Alouatta caraya, Trypanoxyuris minutus"
"211","Alouatta guariba","Cebidicola semiarmatus","Alouatta guariba, Cebidicola semiarmatus"
"212","Alouatta guariba","Dipetalonema gracile","Alouatta guariba, Dipetalonema gracile"
"213","Alouatta guariba","Flavivirus Yellow fever virus","Alouatta guariba, Flavivirus Yellow fever virus"
"214","Alouatta guariba","Moniezia rugosa","Alouatta guariba, Moniezia rugosa"
"215","Alouatta guariba","Parabronema bonnei","Alouatta guariba, Parabronema bonnei"
"216","Alouatta guariba","Plasmodium brasilianum","Alouatta guariba, Plasmodium brasilianum"
"217","Alouatta guariba","Plasmodium simium","Alouatta guariba, Plasmodium simium"
"218","Alouatta guariba","Trichuris dispar","Alouatta guariba, Trichuris dispar"
"219","Alouatta guariba","Trypanosoma forestali","Alouatta guariba, Trypanosoma forestali"
"220","Alouatta guariba","Trypanosoma hippicum","Alouatta guariba, Trypanosoma hippicum"
"221","Alouatta guariba","Trypanosoma minasense","Alouatta guariba, Trypanosoma minasense"
"222","Alouatta guariba","Trypanosoma mycetae","Alouatta guariba, Trypanosoma mycetae"
"223","Alouatta guariba","Trypanosoma venezuelense","Alouatta guariba, Trypanosoma venezuelense"
"224","Alouatta guariba","Trypanoxyuris minutus","Alouatta guariba, Trypanoxyuris minutus"
"225","Alouatta palliata","Alouattamyia baeri","Alouatta palliata, Alouattamyia baeri"
"226","Alouatta palliata","Ascaris lumbricoides","Alouatta palliata, Ascaris lumbricoides"
"227","Alouatta palliata","Controrchis biliophilus","Alouatta palliata, Controrchis biliophilus"
"228","Alouatta palliata","Dermatobia hominis","Alouatta palliata, Dermatobia hominis"
"229","Alouatta palliata","Flavivirus Yellow fever virus","Alouatta palliata, Flavivirus Yellow fever virus"
"230","Alouatta palliata","Leishmania mexicana","Alouatta palliata, Leishmania mexicana"
"231","Alouatta palliata","Listrocarpus alouattae","Alouatta palliata, Listrocarpus alouattae"
"232","Alouatta palliata","Mansonella marmosetae","Alouatta palliata, Mansonella marmosetae"
"233","Alouatta palliata","Parabronema bonnei","Alouatta palliata, Parabronema bonnei"
"234","Alouatta palliata","Plasmodium brasilianum","Alouatta palliata, Plasmodium brasilianum"
"235","Alouatta palliata","Plasmodium simium","Alouatta palliata, Plasmodium simium"
"236","Alouatta palliata","Prosthenorchis elegans","Alouatta palliata, Prosthenorchis elegans"
"237","Alouatta palliata","Raillietina demerariensis","Alouatta palliata, Raillietina demerariensis"
"238","Alouatta palliata","Squamanema bonnei","Alouatta palliata, Squamanema bonnei"
"239","Alouatta palliata","Trypanosoma cruzi","Alouatta palliata, Trypanosoma cruzi"
"240","Alouatta palliata","Trypanosoma mycetae","Alouatta palliata, Trypanosoma mycetae"
"241","Alouatta palliata","Trypanoxyuris minutus","Alouatta palliata, Trypanoxyuris minutus"
"242","Alouatta pigra","Alphavirus Mayaro virus","Alouatta pigra, Alphavirus Mayaro virus"
"243","Alouatta pigra","Controrchis biliophilus","Alouatta pigra, Controrchis biliophilus"
"244","Alouatta pigra","Entamoeba coli","Alouatta pigra, Entamoeba coli"
"245","Alouatta pigra","Flavivirus St. Louis encephalitis virus","Alouatta pigra, Flavivirus St. Louis encephalitis virus"
"246","Alouatta pigra","Flavivirus Yellow fever virus","Alouatta pigra, Flavivirus Yellow fever virus"
"247","Alouatta pigra","Giardia intestinalis","Alouatta pigra, Giardia intestinalis"
"248","Alouatta pigra","Leishmania mexicana","Alouatta pigra, Leishmania mexicana"
"249","Alouatta pigra","Mansonella marmosetae","Alouatta pigra, Mansonella marmosetae"
"250","Alouatta pigra","Salmonella enterica","Alouatta pigra, Salmonella enterica"
"251","Alouatta pigra","Trypanosoma cruzi","Alouatta pigra, Trypanosoma cruzi"
"252","Alouatta pigra","Trypanosoma minasense","Alouatta pigra, Trypanosoma minasense"
"253","Alouatta pigra","Trypanosoma mycetae","Alouatta pigra, Trypanosoma mycetae"
"254","Alouatta pigra","Trypanoxyuris minutus","Alouatta pigra, Trypanoxyuris minutus"
"255","Alouatta seniculus","Alouattalges corbeti","Alouatta seniculus, Alouattalges corbeti"
"256","Alouatta seniculus","Alouattamyia baeri","Alouatta seniculus, Alouattamyia baeri"
"257","Alouatta seniculus","Alphavirus Mayaro virus","Alouatta seniculus, Alphavirus Mayaro virus"
"258","Alouatta seniculus","Amblyomma cajennense","Alouatta seniculus, Amblyomma cajennense"
"259","Alouatta seniculus","Ascaris lumbricoides","Alouatta seniculus, Ascaris lumbricoides"
"260","Alouatta seniculus","Blastocystis hominis","Alouatta seniculus, Blastocystis hominis"
"261","Alouatta seniculus","Cebidicola extrarius","Alouatta seniculus, Cebidicola extrarius"
"262","Alouatta seniculus","Cebidicola semiarmatus","Alouatta seniculus, Cebidicola semiarmatus"
"263","Alouatta seniculus","Chilomastix mesnili","Alouatta seniculus, Chilomastix mesnili"
"264","Alouatta seniculus","Cochliomyia hominivorax","Alouatta seniculus, Cochliomyia hominivorax"
"265","Alouatta seniculus","Controrchis biliophilus","Alouatta seniculus, Controrchis biliophilus"
"266","Alouatta seniculus","Dipetalonema gracile","Alouatta seniculus, Dipetalonema gracile"
"267","Alouatta seniculus","Filariopsis usper","Alouatta seniculus, Filariopsis usper"
"268","Alouatta seniculus","Flavivirus Yellow fever virus","Alouatta seniculus, Flavivirus Yellow fever virus"
"269","Alouatta seniculus","Iodamoeba butschlii","Alouatta seniculus, Iodamoeba butschlii"
"270","Alouatta seniculus","Mycoplasma sp.","Alouatta seniculus, Mycoplasma sp."
"271","Alouatta seniculus","Orthobunyavirus Bunyamwera orthobunyavirus","Alouatta seniculus, Orthobunyavirus Bunyamwera orthobunyavirus"
"272","Alouatta seniculus","Orthobunyavirus Simbu orthobunyavirus","Alouatta seniculus, Orthobunyavirus Simbu orthobunyavirus"
"273","Alouatta seniculus","Parabronema bonnei","Alouatta seniculus, Parabronema bonnei"
"274","Alouatta seniculus","Physaloptera dilatata","Alouatta seniculus, Physaloptera dilatata"
"275","Alouatta seniculus","Plasmodium brasilianum","Alouatta seniculus, Plasmodium brasilianum"
"276","Alouatta seniculus","Plasmodium falciparum","Alouatta seniculus, Plasmodium falciparum"
"277","Alouatta seniculus","Plasmodium simium","Alouatta seniculus, Plasmodium simium"
"278","Alouatta seniculus","Plasmodium vivax","Alouatta seniculus, Plasmodium vivax"
"279","Alouatta seniculus","Raillietina demerariensis","Alouatta seniculus, Raillietina demerariensis"
"280","Alouatta seniculus","Toxoplasma gondii","Alouatta seniculus, Toxoplasma gondii"
"281","Alouatta seniculus","Trichuris dispar","Alouatta seniculus, Trichuris dispar"
"282","Alouatta seniculus","Trichuris trichiura","Alouatta seniculus, Trichuris trichiura"
"283","Alouatta seniculus","Trypanosoma cruzi","Alouatta seniculus, Trypanosoma cruzi"
"284","Alouatta seniculus","Trypanosoma hippicum","Alouatta seniculus, Trypanosoma hippicum"
"285","Alouatta seniculus","Trypanosoma lambrechti","Alouatta seniculus, Trypanosoma lambrechti"
"286","Alouatta seniculus","Trypanosoma minasense","Alouatta seniculus, Trypanosoma minasense"
"287","Alouatta seniculus","Trypanosoma mycetae","Alouatta seniculus, Trypanosoma mycetae"
"288","Alouatta seniculus","Trypanosoma venezuelense","Alouatta seniculus, Trypanosoma venezuelense"
"289","Alouatta seniculus","Trypanoxyuris minutus","Alouatta seniculus, Trypanoxyuris minutus"
