hostName,logNumHostCitations,combIUCN,groupSizeCar,bacteriaRich,virusRich,protozoaRich,fungusRich,prionRich,helminthRich,arthropodRich,logHostSpeciesRange,logHostMass,parRich_micro,parRich_alltypes,logNumHostCitations_c,logHostSpeciesRange_c,logHostMass_c
Lynx_canadensis,1.3862943611198906,not_threatened,non_group,2,5,1,0,0,13,0,9.01833023207013,2.237854553422115,8,21,-0.34436715249953664,0.3173254778053529,0.4892521850645457
Lynx_lynx,2.5649493574615367,not_threatened,non_group,5,4,1,0,0,14,3,10.078600984773445,2.8875901149342877,10,27,0.8342878438421095,1.3775962305086669,1.1389877465767186
Lynx_pardinus,3.091042453358316,threatened,non_group,8,8,5,0,0,15,10,3.298019667144789,2.2407096892759584,21,46,1.3603809397388889,-5.402985087119989,0.49210732091838927
Lynx_rufus,3.367295829986474,not_threatened,non_group,1,5,3,0,0,36,6,9.180142264422539,2.186511844817635,9,51,1.636634316367047,0.47913751015776107,0.4379094764600657
Martes_americana,1.791759469228055,not_threatened,non_group,0,0,0,0,0,14,0,8.938554220604422,0.22314355131420976,0,14,0.06109795560862774,0.2375494663396438,-1.5254588170433594
Martes_foina,3.2188758248682006,not_threatened,non_group,2,4,4,2,0,14,10,8.855239046393235,0.43230176206172405,12,36,1.4882143112487733,0.15423429212845718,-1.316300606295845
Martes_martes,2.4849066497880004,not_threatened,non_group,0,2,3,2,0,19,3,9.031385581259515,0.26236426446749106,7,29,0.7542451361685731,0.3303808269947375,-1.486238103890078
Martes_pennanti,1.3862943611198906,not_threatened,non_group,0,4,2,0,0,0,1,8.15511050912471,1.3862943611198906,6,7,-0.34436715249953664,-0.5458942451400688,-0.36230800723767853
Meles_meles,4.07753744390572,not_threatened,group,4,4,7,3,0,17,11,10.195637889907148,2.5649493574615367,18,46,2.3468759302862923,1.4946331356423705,0.8163469891039676
Mephitis_macroura,0,not_threatened,non_group,0,0,0,0,0,1,0,7.491022859296803,-0.2215198701981123,0,1,-1.7306615136194272,-1.2099818949679753,-1.9701222385556814
Mephitis_mephitis,3.6375861597263857,not_threatened,non_group,10,4,4,1,0,12,8,9.415510484408562,0.7347688552507647,19,39,1.9069246461069584,0.7145057301437845,-1.0138335131068044
Mungos_mungo,0,not_threatened,group,1,0,0,0,0,0,0,9.673731876727773,0.6549259677397475,1,1,-1.7306615136194272,0.9727271224629952,-1.0936764006178215
Mustela_erminea,2.833213344056216,not_threatened,non_group,2,4,0,2,0,23,1,10.589532018432667,-2.1252760780236355,8,32,1.102551830436789,1.8885272641678892,-3.8738784463812044
