hostName,logNumHostCitations,combIUCN,groupSizePriUng,bacteriaRich,virusRich,protozoaRich,fungusRich,prionRich,helminthRich,arthropodRich,logHostSpeciesRange,logHostMass,logGroupSizePriUng,parRich_micro,parRich_alltypes,logGroupSizePriUng_c,logNumHostCitations_c,logHostSpeciesRange_c,logHostMass_c
Macaca_mulatta,2.0794415416798357,not_threatened,43.7,0,16,1,0,0,2,0,8.789743402541669,1.3118401751949431,3.7773481021015445,17,19,1.4137300948384501,1.0625486312592693,2.6168926471037937,0.20110356566958543
Macaca_nemestrina,1.0986122886681098,threatened,22.6,0,1,5,0,0,0,0,7.479082222845571,1.8399939234637641,3.1179499062782403,6,6,0.754331899015146,0.08171937824754338,1.306231467407696,0.7292573139384064
Macaca_nigra,0.6931471805599453,threatened,24.75,0,1,0,0,0,0,0,2.7507264753826464,1.8562979903656263,3.2088254890146994,1,1,0.8452074817516051,-0.3237457298606211,-3.422124280055229,0.7455613808402686
Macaca_radiata,1.0986122886681098,not_threatened,37.25,0,1,2,0,0,0,0,6.521822173319256,1.3056264580524357,3.6176519448255684,3,3,1.254033937562474,0.08171937824754338,0.34897141788138075,0.19488984852707802
Macaca_sinica,1.3862943611198906,threatened,22.4,1,7,4,0,0,0,0,4.199094891754232,1.2781522025001875,3.109060958860994,12,12,0.74544295159789975,0.3694014506993242,-1.9737558636836434,0.16741559297482977
Macaca_sylvanus,0.6931471805599453,threatened,18.3,0,2,0,0,0,0,0,4.557355046327737,2.501435951739211,2.9069010598473755,2,2,0.5432830525842811,-0.3237457298606211,-1.6154957091101387,1.3906993422138532
Mandrillus_leucophaeus,1.0986122886681098,threatened,19.75,0,1,0,0,0,2,0,4.6662088397285375,2.70805020110221,2.9831534913471307,1,3,0.6195354840840364,0.08171937824754338,-1.5066419157093378,1.5973135915768524
Mandrillus_sphinx,2.1972245773362196,threatened,21.95,1,2,7,0,0,2,0,5.662602777279018,2.9041596005614334,3.08876713952118,10,12,0.7251491322580859,1.1803316669156532,-0.5102479781588576,1.7934229910360757
Microcebus_rufus,0,threatened,2.125,0,0,0,0,0,0,1,4.654788578510284,-3.158251203051766,0.7537718023763802,0,1,-1.6098462048867141,-1.0168929104205664,-1.5180621769275913,-4.268987812577124
Miopithecus_talapoin,1.3862943611198906,not_threatened,78.85,1,2,2,0,0,0,0,5.55592417841662,0.40493163250202074,4.367547313409047,5,5,2.003929306145953,0.3694014506993242,-0.6169265770212551,-0.705804977023337
Nycticebus_coucang,0.6931471805599453,threatened,1,0,0,1,0,0,1,0,8.145021940374782,-0.21877809380456978,0,1,2,-2.3636180072630943,-0.3237457298606211,1.972171184936907,-1.3295147033299275
Otolemur_crassicaudatus,0,not_threatened,3.5,0,1,0,0,0,0,0,8.488379227713585,0.4054651081081644,1.252762968495368,1,1,-1.1108550387677263,-1.0168929104205664,2.3155284722757097,-0.7052715014171933
Pan_paniscus,0,threatened,87.5,0,0,0,0,0,1,0,6.023292617272533,3.5263634657883065,4.471638793363569,0,1,2.1080207861004747,-1.0168929104205664,-0.14955813816534214,2.415626856262949
Pan_troglodytes,3.6888794541139363,threatened,47.5,3,6,15,0,0,9,0,7.549055327604299,3.7495040759303713,3.8607297110405954,24,33,1.497111703777501,2.67198654369337,1.376204572166424,2.638767466405014
Papio_hamadryas,1.0986122886681098,not_threatened,44.8,1,1,3,0,0,3,0,9.453156502915053,2.70619514822173,3.8022081394209395,5,8,1.4385901321578451,0.08171937824754338,3.280305747477178,1.5954585386963724
Perodicticus_potto,0,not_threatened,1,0,0,2,0,0,0,0,8.510361508521271,0.09531017980432493,0,2,2,-2.3636180072630943,-1.0168929104205664,2.3375107530833956,-1.0154264297210327
Pithecia_pithecia,1.791759469228055,not_threatened,2.7,0,2,2,1,0,0,1,6.944856439778188,0.31881730138249215,0.9932517730102834,5,6,-1.370366234252811,0.7748665588074886,0.7720056843403125,-0.7919193081428655
Pongo_pygmaeus,2.0794415416798357,threatened,1,0,14,4,0,0,0,0,5.568420836725524,4.04567939024082,0,18,18,-2.3636180072630943,1.0625486312592693,-0.6044299187123512,2.9349427807154624
Presbytis_melalophos,0.6931471805599453,threatened,14.25,0,0,0,0,0,2,0,4.870629655362885,1.840549633397487,2.6567569067146595,0,2,0.2931388994515651,-0.3237457298606211,-1.3022211000749904,0.7298130238721292
Procolobus_verus,0,not_threatened,8.15,0,1,0,0,0,0,0,4.874441312306078,1.3862943611198906,2.0980179272527715,1,1,-0.26560008001032287,-1.0168929104205664,-1.2984094431317974,0.2755577515945329
Propithecus_diadema,0,threatened,4.95,0,0,0,0,0,0,1,3.977529807630266,1.6582280766035324,1.599387576580599,0,1,-0.7642304306824954,-1.0168929104205664,-2.1953209478076094,0.5474914670781748
Propithecus_verreauxi,0,threatened,6.825,0,0,0,0,0,1,3,4.629013657672542,1.1786549963416462,1.9205923410710235,0,4,-0.44302566619207084,-1.0168929104205664,-1.5438370977653335,0.06791838681628848
Saguinus_fuscicollis,1.0986122886681098,not_threatened,6,0,0,4,0,0,3,0,7.590219600455608,-0.9493305859523552,1.791759469228055,4,7,-0.5718585380350394,0.08171937824754338,1.4173688450177329,-2.0600671954777128
Saguinus_geoffroyi,2.0794415416798357,not_threatened,6.9,2,2,5,0,0,2,0,4.3328232601448065,-0.7205183773560774,1.9315214116032138,9,11,-0.43209659565988057,1.0625486312592693,-1.8400274952930689,-1.8312549868814352
Saguinus_labiatus,0,not_threatened,5.25,0,0,0,0,0,4,0,5.536526854534613,-0.5533852381847867,1.6582280766035324,0,4,-0.7053899306595619,-1.0168929104205664,-0.6363239009032622,-1.6641218477101445
Saguinus_midas,2.1972245773362196,not_threatened,5.55,0,1,6,1,0,0,1,7.3309063968462045,-0.616186139423817,1.713797927758343,8,9,-0.6498200795047513,1.1803316669156532,1.1580556414083292,-1.7269227489491747
Saguinus_mystax,0.6931471805599453,not_threatened,5.4,0,0,0,0,0,5,0,6.328452722038704,-0.4812668215244463,1.6863989535702288,0,5,-0.6772190536928655,-0.3237457298606211,0.1556019666008286,-1.592003431049804
Saguinus_nigricollis,0,not_threatened,6.3,0,0,2,0,0,0,0,5.66234918222033,-0.7721903879003982,1.840549633397487,2,2,-0.52306837386560745,-1.0168929104205664,-0.5105015732175451,-1.8829269974257559
Saguinus_oedipus,0,threatened,7.05,0,0,1,0,0,0,0,3.932237312678386,-0.843970070294529,1.9530276168241774,1,1,-0.410590390438917,-1.0168929104205664,-2.2406134427594893,-1.9547066798198867
Saimiri_boliviensis,0.6931471805599453,not_threatened,60,0,0,2,0,0,3,0,7.4304153980421885,-0.4861330111756192,4.0943445622221,2,5,1.730726554959006,-0.3237457298606211,1.2575646426043132,-1.596869620700977
Saimiri_oerstedii,1.3862943611198906,threatened,25.05,0,1,1,0,0,3,1,1.9305064039035147,-1.2783372196147982,3.2208738275308737,2,6,0.8572558202677794,0.3694014506993242,-4.242344351534361,-2.389073829140156
Saimiri_sciureus,2.6390573296152584,not_threatened,34.85,0,2,8,0,0,4,0,8.060356259521381,-0.2967900914825082,3.551053137206533,10,14,1.1874351299434385,1.622164419194692,1.8875055040835056,-1.4075267010078658
Semnopithecus_entellus,0,not_threatened,22.6,0,2,0,0,0,0,0,7.685472901538996,2.6741486494265287,3.1179499062782403,2,2,0.754331899015146,-1.0168929104205664,1.512622146101121,1.563412039901171
Theropithecus_gelada,0.6931471805599453,not_threatened,61,0,0,0,0,0,1,0,5.036192573404999,2.836138473455448,4.110873864173311,0,1,1.747255856910217,-0.3237457298606211,-1.1366581820328765,1.72540186393009
Trachypithecus_cristatus,1.791759469228055,not_threatened,26.700000000000003,0,0,3,0,0,5,0,7.22465653290406,1.6582280766035324,3.2846635654062037,3,8,0.9210455581431094,0.7748665588074886,1.0518057774661846,0.5474914670781748
Trachypithecus_obscurus,1.0986122886681098,not_threatened,15.5,0,0,0,0,0,2,0,5.345620711663903,1.9459101490553132,2.740840023925201,0,2,0.37722201666210653,0.08171937824754338,-0.8272300437739721,0.8351735395299555
Trachypithecus_vetulus,0.6931471805599453,threatened,8.7,1,0,2,0,0,0,0,3.9679873733455784,2.178155014615869,2.163323025660538,3,3,-0.20029498160255654,-0.3237457298606211,-2.204863382092297,1.0674184050905111
Varecia_variegata,0,threatened,3.15,0,0,0,0,0,0,1,4.2028401583754,1.208960345836975,1.1474024528375417,0,1,-1.2162155544255526,-1.0168929104205664,-1.9700105970624753,0.0982237363116174
