hostName,groupSizePriUng,parRich,logNumHostCitations,combIUCN,logHostSpeciesRange,logHostMass,logGroupSizePriUng,logGroupSizePriUng_c,logNumHostCitations_c,logHostSpeciesRange_c,logHostMass_c
Cephalophus_natalensis,2,28,1.6094379124341003,not_threatened,7.097342874068093,2.4849066497880004,0.6931471805599453,-1.798155354720516,-0.2438255671027798,-0.7787279364310402,-1.8998470268963978
Ceratotherium_simum,3.75,23,1.791759469228055,not_threatened,8.066040207063427,7.989555805255285,1.3217558399823195,-1.169546695298142,-0.06150401030882513,0.1899693965642939,3.6048021285708867
Cervus_elaphus,17.5,121,4.795790545596741,not_threatened,9.558722263417021,4.877103901471733,2.8622008809294686,0.37089834564900714,2.9425270660598613,1.682651452917888,0.4923502247873346
Cervus_nippon,7.5,34,3.1354942159291497,not_threatened,7.906419415728382,3.970291913552122,2.0149030205422647,-0.47639951473819675,1.2822307363922696,0.03034860522924898,-0.41446176313227623
Connochaetes_gnou,26.75,15,1.6094379124341003,not_threatened,4.884323491685497,5.192951295319222,3.2865344733420154,0.795231938061554,-0.2438255671027798,-2.991747318813636,0.8081976186348241
Connochaetes_taurinus,20,45,2.6390573296152584,not_threatened,8.07125415320637,5.192951295319222,2.995732273553991,0.5044297382735294,0.7857938500783783,0.19518334270723692,0.8081976186348241
Dama_dama,10.5,62,3.7376696182833684,not_threatened,8.033255816845958,4.029806041084529,2.3513752571634776,-0.1399272781169838,1.8844061387464883,0.15718500634682542,-0.35494763559986886
Damaliscus_lunatus,3.6,28,2.0794415416798357,not_threatened,8.421792247492975,4.912657091615972,1.2809338454620642,-1.2103686898183972,0.22617806214295566,0.5457214369938423,0.5279034149315738
Diceros_bicornis,1,37,2.3978952727983707,threatened,9.345874432921157,7.0737025898586285,0,-2.4913025352804614,0.5446317932614906,1.469803622422024,2.6889489131742303
Equus_zebra,8.5,39,2.6390573296152584,threatened,4.968812799242417,5.659477686132638,2.1400661634962708,-0.35123637178419065,0.7857938500783783,-2.907258011256716,1.2747240094482395
Giraffa_camelopardalis,100,25,2.5649493574615367,threatened,7.934367679617285,6.802388985529841,4.605170185988092,2.1138676507076304,0.7116858779246567,0.05829686911815202,2.417635308845443
Hippopotamus_amphibius,585,4,1.6094379124341003,threatened,7.522610593250863,7.256642980903301,6.371611847231857,3.8803093119513954,-0.2438255671027798,-0.35346021724827015,2.871889304218903
Hippotragus_equinus,12,3,1.0986122886681098,not_threatened,8.989550673176229,5.598413440443574,2.4849066497880004,-0.006395885492461062,-0.7546511908687703,1.1134798626770959,1.2136597637591757
Hippotragus_niger,15,11,1.9459101490553132,not_threatened,8.055045662048032,5.4271471614631945,2.70805020110221,0.21674766582174865,0.09264666951843314,0.17897485154889914,1.0423934847787963
Kobus_ellipsiprymnus,12,20,2.1972245773362196,not_threatened,9.217030344126496,5.347108959287877,2.4849066497880004,-0.006395885492461062,0.3439610977993395,1.3409595336273625,0.9623552826034789
Kobus_kob,112.5,4,0.6931471805599453,not_threatened,8.0645726372586,4.3630998986729015,4.722953221644475,2.2316506863640133,-1.1601162989769347,0.1885018267594667,-0.021653778011496705
Kobus_leche,20,5,1.3862943611198906,not_threatened,5.437000466312162,4.707266379539107,2.995732273553991,0.5044297382735294,-0.4669691184169895,-2.4390703441869714,0.32251270285470923
Madoqua_saltiana,1.5,3,0,not_threatened,7.106377423049504,1.1786549963416462,0.4054651081081644,-2.0858374271722973,-1.85326347953688,-0.769693387449629,-3.206098680342752
Odocoileus_virginianus,2.25,85,4.700480365792417,not_threatened,9.578172977057411,4.0165379637030645,0.8109302162163288,-1.6803723190641326,2.8472168862555365,1.7021021665582783,-0.3682157129813337
Oreamnos_americanus,3,1,0,not_threatened,7.03687646090811,4.283590699783103,1.0986122886681098,-1.3926902466123516,-1.85326347953688,-0.8391943495910228,-0.10116297690129539
Oreotragus_oreotragus,2,1,0,not_threatened,8.58957022350004,2.5649416651242585,0.6931471805599453,-1.798155354720516,-1.85326347953688,0.7134994130009069,-1.8198120115601397
Oryx_gazella,30,39,2.3978952727983707,not_threatened,8.450906796971038,5.12990640720118,3.4011973816621555,0.909894846381694,0.5446317932614906,0.5748359864719053,0.7451527305167822
Ourebia_ourebi,2,8,1.0986122886681098,not_threatened,9.01894460881989,2.847812143477369,0.6931471805599453,-1.798155354720516,-0.7546511908687703,1.1428737983207569,-1.5369415332070293
Ovibos_moschatus,12.5,13,2.1972245773362196,not_threatened,7.387465397472904,5.830418356127668,2.5257286443082556,0.034426109027794194,0.3439610977993395,-0.48860541302622895,1.4456646794432695
Ovis_canadensis,5.5,55,3.332204510175204,not_threatened,7.807042263040106,4.312742202830197,1.7047480922384253,-0.7865544430420361,1.4789410306383237,-0.06902854745902687,-0.07201147385420104
Ovis_dalli,9.5,4,1.9459101490553132,not_threatened,6.92189188465169,4.019092859334591,2.2512917986064953,-0.2400107366739661,0.09264666951843314,-0.9541789258474429,-0.3656608173498075
Ozotoceros_bezoarticus,3.5,5,1.6094379124341003,not_threatened,8.202391757532903,3.6888794541139363,1.252762968495368,-1.2385395667850934,-0.2438255671027798,0.32632094703376957,-0.6958742225704619
Pecari_tajacu,15.85,3,0.6931471805599453,not_threatened,9.665956051812987,3.0571424690795252,2.7631695003232895,0.27186696504282803,-1.1601162989769347,1.7898852413138542,-1.327611207604873
Pelea_capreolus,10.25,25,2.0794415416798357,not_threatened,6.764135454540376,2.995732273553991,2.327277705584417,-0.16402482969604426,0.22617806214295566,-1.1119353559587575,-1.3890214031304073
Phacochoerus_aethiopicus,2,44,2.4849066497880004,not_threatened,6.7475067114375795,4.262684102384502,0.6931471805599453,-1.798155354720516,0.6316431702511203,-1.1285640990615535,-0.12206957429989629
Potamochoerus_porcus,19.53,11,1.0986122886681098,not_threatened,8.523814621285025,4.248499527754461,2.9719517448885875,0.48064920960812607,-0.7546511908687703,0.6477438107858919,-0.13625414892993692
Pseudois_nayaur,25,1,0,not_threatened,8.039750762780162,3.8066624897703196,3.2188758248682006,0.7275732895877391,-1.85326347953688,0.16367995228102927,-0.5780911869140786
Pudu_puda,1,2,0.6931471805599453,not_threatened,5.407337676979548,2.2772570285469023,0,-2.4913025352804614,-1.1601162989769347,-2.468733133519585,-2.107496648137496
Rangifer_tarandus,100000,31,3.258096538021482,threatened,9.818825994376663,4.454742566960957,11.512925464970229,9.021622929689768,1.404833058484602,1.94275518387753,0.06998889027655864
Raphicerus_campestris,2,17,1.6094379124341003,not_threatened,8.503109682739414,2.3513752571634776,0.6931471805599453,-1.798155354720516,-0.2438255671027798,0.6270388722402807,-2.0333784195209206
Raphicerus_melanotis,1.5,8,0,not_threatened,5.496286689313526,2.3272679494392654,0.4054651081081644,-2.0858374271722973,-1.85326347953688,-2.3797841211856072,-2.057485727245133
Redunca_arundinum,1.75,28,1.791759469228055,not_threatened,8.546751799483006,4.0604481829468355,0.5596157879354227,-1.9316867473450388,-0.06150401030882513,0.6706809889838734,-0.3243054937375627
Redunca_fulvorufula,4.75,18,2.0794415416798357,not_threatened,7.034181741259202,3.3843868735095204,1.55814461804655,-0.9331579172339115,0.22617806214295566,-0.8418890692399312,-1.0003668031748778
Rupicapra_rupicapra,1,61,3.4011973816621555,not_threatened,6.610368938734524,3.261935314328648,0,-2.4913025352804614,1.5479339021252754,-1.265701871764609,-1.1228183623557504
Saiga_tatarica,272.75,15,0,threatened,8.023711619569756,3.367295829986474,5.60855562471318,3.1172530894327184,-1.85326347953688,0.14764080907062294,-1.017457846697924
Sus_scrofa,13,82,4.174387269895637,not_threatened,10.163992165846858,4.615636225424884,2.5649493574615367,0.07364682218107532,2.3211237903587567,2.2879213553477253,0.2308825487404862
Sylvicapra_grimmia,1,38,2.302585092994046,not_threatened,9.55541167329474,2.970404209106847,0,-2.4913025352804614,0.4493216134571658,1.6793408627956072,-1.414349467577551
Syncerus_caffer,1506,41,3.5263605246161616,not_threatened,9.367928138248633,6.363032758702044,7.317212408359839,4.825909873079377,1.6730970450792815,1.4918573277495,1.9782790820176457
Tapirus_terrestris,1,1,0,threatened,9.522508133172048,5.3351356770107445,0,-2.4913025352804614,-1.85326347953688,1.6464373226729148,0.9503820003263463
Tayassu_pecari,103,6,0.6931471805599453,threatened,9.535249801975082,3.473012489114237,4.634728988229636,2.1434264529491744,-1.1601162989769347,1.6591789914759492,-0.9117411875701613
Tragelaphus_angasii,15.5,31,2.302585092994046,not_threatened,5.613401791560603,4.461304434495366,2.740840023925201,0.24953748864473946,0.4493216134571658,-2.2626690189385297,0.07655075781096787
Tragelaphus_eurycerus,13.5,2,0,not_threatened,7.849492680537557,5.796067173213381,2.6026896854443837,0.11138715016392231,-1.85326347953688,-0.02657812996157638,1.411313496528983
Tragelaphus_imberbis,3,2,0,not_threatened,7.553548238912079,4.401528971789439,1.0986122886681098,-1.3926902466123516,-1.85326347953688,-0.32252257158705433,0.016775295105040833
Tragelaphus_scriptus,1,29,2.302585092994046,not_threatened,9.485511963685974,3.767006481890034,0,-2.4913025352804614,0.4493216134571658,1.6094411531868413,-0.6177471947943642
Tragelaphus_spekii,6,3,0.6931471805599453,not_threatened,8.56713868793216,4.3566985702267385,1.791759469228055,-0.6995430660524065,-1.1601162989769347,0.6910678774330261,-0.02805510645765974
Tragelaphus_strepsiceros,12,53,3.1354942159291497,not_threatened,8.77599419191541,5.363641516498459,2.4849066497880004,-0.006395885492461062,1.2822307363922696,0.8999233814162775,0.9788878398140612
