Host family,Host genus,Host species,MSW Bionomial,MaleBW(kg),FemBW(kg),SpecRW(kg),MaleL(cm),FemL(cm),SpecL(cm),MaleBrainW(g),FemBrainW(g),SpecBrainW(g),MaleSkullL(mm),FemSkullL(mm),WeightDim,LengthDim,BrainDim,SkullDim,field20,LitterSize,Gest(days),BirthW(g),LittW(g),Wean(days),IndepAge(days), MaleSexMat(days),FemSexMat(days),IntBirthInt(months),EyesOpen(days),ParturitionHabitat,field32,CapLongev(months),WildLongev(months),Longevity(months),Diet,Activity,field38,MassSpecBMR(mL O2/min),TotBMR(mL O2/min),BodyTemp(°C),Hematocrit(%),Hb (g% or g/100 mL),RBC(x10^6/mm3) or (x10^12/L),O2Capacity(mL/100 mL),O2CombiningCapacity (mL O2/g Hb),BloodVolume(mL/kg body mass),HeartRate (beats/min),field49,MS,Groupsize,PopDens(per km2),HomeRange(km2),Migratory,Territoriality,Habitat
Mustelidae,Mustela,eversmannii,Mustela eversmannii,2.05,1.35,1.7,46.35,40.50,43.42,,,,,,1.51,1.14,,,,6.50,39.50,5.00,32.50,45.00,90.00,307.50,315.00,12.00,30.00,Land,,,,,Carnivore,Nocturnal,,,,,,,,,,,,,,Solitary,,,,No,Terrestrial
Mustelidae,Mustela,felipei,Mustela felipei,,,0,21.70,,21.7,,,,,,,,,,,,,,,,,,,,,Land,,,,,,,,,,,,,,,,,,,,,,,,,Terrestrial
Mustelidae,Mustela,frenata,Mustela frenata,0.25,0.15,0.2,24.45,21.55,23,4.00,4.00,4.00,,,1.65,1.13,1.00,,,6.60,23.50,3.10,20.46,30.00,84.00,450.00,105.00,12.00,35.87,Land,,85.23,,85.23,Carnivore,Arrhythmic,,16.84,3.44,39.50,,,,,,,182.00,,Polygamous,Solitary,0.76,0.43,,,Terrestrial
Mustelidae,Mustela,kathiah,Mustela kathiah,0.35,0.20,0.28,,,25.99,,,4.01,,,1.78,,,,,,,,,,,,,,,Land,,,,,Carnivore,,,,,,,,,,,,,,,,,,,,Terrestrial
Mustelidae,Mustela,lutreola,Mustela lutreola,0.74,0.44,0.59,35.50,36.00,35.75,9.00,8.00,8.50,63.53,58.17,1.68,0.98,1.12,1.09,,4.50,38.50,7.25,32.62,70.00,97.50,330.00,341.87,12.00,33.00,Land,,,102.00,102.00,Carnivore,Nocturnal and Crepuscular,,,,37.30,,,,,,,255.00,,,Solitary,0.07,0.23,,Yes,Semi-Aquatic
Mustelidae,Mustela,lutreolina,Mustela lutreolina,0.46,,0.46,30.90,,30.9,,,,,,,,,,,,,,,,,,,,,Land,,,,,Carnivore,Nocturnal and Crepuscular,,,,,,,,,,,,,,,,,,,Terrestrial
Mustelidae,Mustela,nigripes,Mustela nigripes,1.02,0.80,0.91,41.80,37.62,39.71,,,8.49,68.00,63.30,1.28,1.11,,1.07,,3.40,43.50,7.40,25.16,60.00,120.00,343.25,343.25,12.00,35.00,Land,,144.00,144.00,144.00,Carnivore,Nocturnal,,,,,,,,,,,,,Polygynous,Solitary,2.00,1.10,,,Terrestrial
Mustelidae,Mustela,nivalis,Mustela nivalis,0.09,0.05,0.07,19.75,18.00,18.87,1.50,1.50,1.50,,,1.77,1.09,1.00,,,5.30,39.50,2.00,10.60,51.85,135.00,218.50,135.00,6.00,29.08,Land,,93.00,120.00,120.00,Carnivore,Arrhythmic,,44.64,3.41,36.60,,,,,,,,,,Solitary,18.36,0.06,,Yes,Terrestrial
Mustelidae,Mustela,nudipes,Mustela nudipes,0.64,0.50,0.57,,,32.68,,,,,,1.29,,,,,4.00,,,,,,,,,,Land,,,,,,,,,,,,,,,,,,,,,,,,,Terrestrial
Mustelidae,Mustela,putorius,Mustela putorius,1.26,0.80,1.03,40.50,31.50,36,9.60,7.00,8.30,,,1.57,1.28,1.37,,,8.47,41.00,9.50,80.54,43.00,70.00,318.00,365.00,12.00,29.08,Land,,168.00,66.00,168.00,Carnivore,Nocturnal,,13.71,14.12,38.73,51.00,15.20,9.98,,,,231.00,,,Solitary,0.10,1.25,,Yes,Terrestrial
Mustelidae,Mustela,sibirica,Mustela sibirica,0.74,0.40,0.57,33.50,27.87,30.68,7.50,6.00,6.75,,,1.85,1.20,1.25,,,6.00,29.00,,,56.00,90.00,,,,27.94,Land,,106.00,,106.00,Carnivore,Nocturnal and Crepuscular,,,,,,,,,,,,,,Solitary,,4.50,,Yes,Terrestrial
Mustelidae,Mustela,strigidorsa,Mustela strigidorsa,,,1.5,,,28.73,,,,,,,,,,,,,,,,,,,,,Land,,,,,,,,,,,,,,,,,,,,,,,,,Terrestrial
Mustelidae,Mustela,vison,Mustela vison,1.21,0.61,0.91,38.00,35.00,36.5,10.00,7.00,8.50,,,1.98,1.08,1.42,,,5.00,29.00,9.00,45.00,54.75,120.00,408.75,420.00,12.00,35.16,Land,,120.00,120.00,120.00,Carnivore,Nocturnal,,13.05,11.88,40.00,48.00,13.86,8.96,,,,,,Polygamous,Solitary,2.50,2.70,,Yes,Semi-Aquatic
Mustelidae,Mydaus,javanensis,Mydaus javanensis,,,2.5,,,44.25,,,19.49,,,,,,,,,,,,,,,,,,Land,,,,,Omnivore,Nocturnal,,,,,,,,,,,,,,,,,,,Terrestrial
Mustelidae,Mydaus,marchei,Mydaus marchei,,,2.5,,,39.07,,,14.43,,,,,,,,,,,,,,,,,,Land,,,,,,Arrhythmic,,,,,,,,,,,,,,,,,,,Terrestrial
Viverridae,Nandinia,binotata,Nandinia binotata,2.04,1.90,1.97,,,50,17.60,17.00,17.30,,,1.07,,1.03,,,1.80,64.00,56.00,100.80,64.00,,1095.00,907.50,6.00,,Land,,222.00,,222.00,Frugivore,Nocturnal,,3.93,7.75,37.40,,,,,,,,,,Solitary,5.00,0.72,,Yes,Terrestrial
